# R(H2)/A     E(RHF)/a.u.  E(RMP2)/a.u.  E(CCSD)/a.u. 
 0.50000000  -1.06343098  -1.09475023   -1.10111062
 0.60106383  -1.11580852  -1.14732807   -1.15409197
 0.70212766  -1.13225480  -1.16408749   -1.17142987
 0.80319149  -1.13011248  -1.16240019   -1.17053115
 0.90425532  -1.11818289  -1.15110265   -1.16027168
 1.00531915  -1.10119758  -1.13493671   -1.14541785
 1.10638298  -1.08180694  -1.11655158   -1.12865096
 1.20744681  -1.06153840  -1.09748123   -1.11153987
 1.30851064  -1.04128746  -1.07863173   -1.09502817
 1.40957447  -1.02157873  -1.06053800   -1.07967784
 1.51063830  -1.00271027  -1.04350610   -1.06580718
 1.61170213  -0.98483888  -1.02769804   -1.05357188
 1.71276596  -0.96803358  -1.01318599   -1.04300577
 1.81382979  -0.95230988  -0.99998765   -1.03406518
 1.91489362  -0.93765131  -0.98808811   -1.02664475
 2.01595745  -0.92402246  -0.97745292   -1.02059759
 2.11702128  -0.91137685  -0.96803591   -1.01575232
 2.21808511  -0.89966169  -0.95978352   -1.01192884
 2.31914894  -0.88882101  -0.95263790   -1.00895174
 2.42021277  -0.87879784  -0.94653913   -1.00665946
 2.52127660  -0.86953561  -0.94142663   -1.00491089
 2.62234043  -0.86097938  -0.93724023   -1.00358668
 2.72340426  -0.85307654  -0.93392100   -1.00258953
 2.82446809  -0.84577731  -0.93141171   -1.00184192
 2.92553191  -0.83903497  -0.92965741   -1.00128323
 3.02659574  -0.83280588  -0.92860518   -1.00086677
 3.12765957  -0.82704942  -0.92820452   -1.00055688
 3.22872340  -0.82172783  -0.92840728   -1.00032657
 3.32978723  -0.81680610  -0.92916773   -1.00015552
 3.43085106  -0.81225175  -0.93044253   -1.00002848
 3.53191489  -0.80803475  -0.93219075   -0.99993406
 3.63297872  -0.80412735  -0.93437380   -0.99986381
 3.73404255  -0.80050391  -0.93695533   -0.99981143
 3.83510638  -0.79714109  -0.93990111   -0.99977231
 3.93617021  -0.79401727  -0.94317886   -0.99974300
 4.03723404  -0.79111276  -0.94675814   -0.99972098
 4.13829787  -0.78840957  -0.95061016   -0.99970438
 4.23936170  -0.78589130  -0.95470777   -0.99969508
 4.34042553  -0.78354298  -0.95902537   -0.99968388
 4.44148936  -0.78135092  -0.96353898   -0.99967490
 4.54255319  -0.77930259  -0.96822627   -0.99966812
 4.64361702  -0.77738649  -0.97306559   -0.99966225
 4.74468085  -0.77559205  -0.97804021   -0.99965742
 4.84574468  -0.77390950  -0.98313204   -0.99965346
 4.94680851  -0.77232988  -0.98832582   -0.99965027
 5.04787234  -0.77084454  -0.99360804   -0.99964789
 5.14893617  -0.76944686  -0.99896682   -0.99964647
 5.25000000  -0.76812857  -1.00439180   -0.99965009
 5.35106383  -0.76688401  -1.00987402   -0.99965016
 5.45212766  -0.76570716  -1.01540573   -0.99964793
 5.55319149  -0.76459254  -1.02098033   -0.99964715
 5.65425532  -0.76353521  -1.02659215   -0.99964656
 5.75531915  -0.76253068  -1.03223636   -0.99964612
 5.85638298  -0.76157486  -1.03790888   -0.99964577
 5.95744681  -0.76066402  -1.04359324   -0.99964544
 6.05851064  -0.75979478  -1.04931341   -0.99964507
 6.15957447  -0.75896408  -1.05505301   -0.99964461
 6.26063830  -0.75816910  -1.06080991   -0.99964406
 6.36170213  -0.75740733  -1.06658236   -0.99964344
 6.46276596  -0.75667643  -1.07236889   -0.99964281
 6.56382979  -0.75597432  -1.07816825   -0.99964224
 6.66489362  -0.75529909  -1.08397940   -0.99964190
 6.76595745  -0.75464898  -1.08980146   -0.99964208
 6.86702128  -0.75402243  -1.09563368   -0.99964346
 6.96808511  -0.75341797  -1.10147541   -0.99964706
 7.06914894  -0.75283428  -1.10732610   -0.99964174
 7.17021277  -0.75227016  -1.11318527   -0.99964154
 7.27127660  -0.75172450  -1.11905251   -0.99964155
 7.37234043  -0.75119628  -1.12492743   -0.99964170
 7.47340426  -0.75068457  -1.13080970   -0.99964185
 7.57446809  -0.75018850  -1.13669902   -0.99964297
 7.67553191  -0.74970728  -1.14259512   -0.99964424
 7.77659574  -0.74924018  -1.14849774   -0.99964515
 7.87765957  -0.74878651  -1.15440665   -0.99964463
 7.97872340  -0.74834564  -1.16032165   -0.99964185
 8.07978723  -0.74791699  -1.16624253   -0.99963507
 8.18085106  -0.74750000  -1.17216914   -0.99964912
 8.28191489  -0.74709415  -1.17810129   -0.99964311
 8.38297872  -0.74669897  -1.18403886   -0.99964304
 8.48404255  -0.74631401  -1.18998171   -0.99964251
 8.58510638  -0.74593884  -1.19592971   -0.99964104
 8.68617021  -0.74557305  -1.20188278   -0.99964119
 8.78723404  -0.74521627  -1.20784081   -0.99964410
 8.88829787  -0.74486815  -1.21380373   -0.99964939
 8.98936170  -0.74452835  -1.21977145   -0.99964593
 9.09042553  -0.74419654  -1.22574392   -0.99964729
 9.19148936  -0.74387243  -1.23172109   -0.99964198
 9.29255319  -0.74355573  -1.23770290   -0.99964700
 9.39361702  -0.74324617  -1.24368930   -0.99964427
 9.49468085  -0.74294349  -1.24968027   -0.99964978
 9.59574468  -0.74264745  -1.25567575   -0.99964658
 9.69680851  -0.74235781  -1.26167572   -0.99964613
 9.79787234  -0.74207435  -1.26768015   -0.99965478
 9.89893617  -0.74179687  -1.27368899   -0.99964166
10.00000000  -0.74152516  -1.27970223   -0.99964012
